Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
New Hampshire,US,2021-03-07 05:31:30,43.4525,-71.5639,76695,1181,73004.0,2510.0,33.0,5640.536849374611,1481488.0,,1.5398657018058544,84000033.0,USA,108956.09434651922,,,
New Jersey,US,2021-03-07 05:31:30,40.2989,-74.521,810090,23557,,786533.0,34.0,9120.3858507868,10993311.0,,2.9079484995494327,84000034.0,USA,123768.02342665492,,,
New Mexico,US,2021-03-07 05:31:30,34.8405,-106.2485,186742,3796,153376.0,29570.0,35.0,8905.924135921432,2757994.0,,2.032751068318857,84000035.0,USA,131531.66042629132,,,
New York,US,2021-03-07 05:31:30,42.1657,-74.9481,1686993,48247,,1638746.0,36.0,8671.898168155434,39194200.0,,2.8599407347866883,84000036.0,USA,201475.70925446504,,,
North Carolina,US,2021-03-07 05:31:30,35.6301,-79.8064,872176,11502,,860674.0,37.0,8315.875425864248,9650184.0,,1.3187705233806022,84000037.0,USA,92010.93355087544,,,
North Dakota,US,2021-03-07 05:31:30,47.5289,-99.784,100357,1479,98164.0,714.0,38.0,13169.13846904845,1422537.0,,1.4737387526530288,84000038.0,USA,186669.4573407413,,,
Northern Mariana Islands,US,2021-03-07 05:31:30,15.0979,145.6739,144,2,29.0,113.0,69.0,261.1344842593936,17573.0,,1.3888888888888888,580.0,MNP,31867.474249238363,,,
Ohio,US,2021-03-07 05:31:30,40.3888,-82.7649,977736,18474,921707.0,38528.0,39.0,8364.510526901131,10187678.0,,1.7899514797450438,84000039.0,USA,87155.36696580575,,,
Oklahoma,US,2021-03-07 05:31:30,35.5653,-96.9289,428536,4534,410778.0,13224.0,40.0,10829.899941141848,3562618.0,,1.0580207963858346,84000040.0,USA,90033.96790120524,,,
Oregon,US,2021-03-07 05:31:30,44.572,-122.0709,157079,2296,,154783.0,41.0,3724.248335066885,3798067.0,,1.4616848846758637,84000041.0,USA,90049.87745798279,,,
Pennsylvania,US,2021-03-07 05:31:30,40.5908,-77.2098,949127,24306,859218.0,65603.0,42.0,7413.902636535618,10629284.0,,2.5608796293857408,84000042.0,USA,83028.37941822947,,,
Puerto Rico,US,2021-03-07 05:31:30,18.2208,-66.5901,101327,2059,91833.0,7435.0,72.0,3172.7209933074364,407038.0,,2.0320348969178994,630.0,PRI,12745.053220502654,,,
Rhode Island,US,2021-03-07 05:31:30,41.6809,-71.5118,128121,2541,,125580.0,44.0,12094.177527773818,3087981.0,,1.9832814292738896,84000044.0,USA,291494.6840595416,,,
South Carolina,US,2021-03-07 05:31:30,33.8569,-80.945,524457,8719,230793.0,284945.0,45.0,10186.174644775376,5126807.0,,1.6624813855092029,84000045.0,USA,99574.51511192892,,,
South Dakota,US,2021-03-07 05:31:30,44.2998,-99.4388,113378,1898,109237.0,2243.0,46.0,12816.011593167535,698456.0,,1.674046111238512,84000046.0,USA,78952.00297515768,,,
Tennessee,US,2021-03-07 05:31:30,35.7478,-86.6923,782206,11543,755474.0,15189.0,47.0,11453.888859765471,6856581.0,,1.4756982176050812,84000047.0,USA,100401.322326829,,,
Texas,US,2021-03-07 05:31:30,31.0545,-97.5635,2692691,45249,2470308.0,177134.0,48.0,9286.460376906638,19820052.0,,1.6804378965131908,84000048.0,USA,68354.71562322938,,,
Utah,US,2021-03-07 05:31:30,40.15,-111.8624,374438,1975,357312.0,15151.0,49.0,11679.44183922559,2895082.0,,0.5274571491141391,84000049.0,USA,90303.1792681002,,,
Vermont,US,2021-03-07 05:31:30,44.0459,-72.7107,15964,208,13145.0,2611.0,50.0,2558.378432953145,1107296.0,,1.3029315960912051,84000050.0,USA,177454.4102540269,,,
Virgin Islands,US,2021-03-07 05:31:30,18.3358,-64.8963,2714,25,2559.0,130.0,78.0,2530.111496438826,48881.0,,0.9211495946941785,850.0,VIR,45569.04202558079,,,
Virginia,US,2021-03-07 05:31:30,37.7693,-78.17,584537,9519,,575018.0,51.0,6848.288897253934,5996828.0,,1.6284683433212954,84000051.0,USA,70257.3329167213,,,
Washington,US,2021-03-07 05:31:30,47.4009,-121.4905,344532,5041,,339491.0,53.0,4524.449654118581,5344402.0,,1.4631442072144245,84000053.0,USA,70183.54689947712,,,
West Virginia,US,2021-03-07 05:31:30,38.4912,-80.9545,133290,2323,124502.0,6465.0,54.0,7437.447932563566,2218488.0,,1.742816415334984,84000054.0,USA,123789.39897229412,,,
Wisconsin,US,2021-03-07 05:31:30,44.2685,-89.6165,621275,7103,552311.0,61861.0,55.0,10670.365692423478,7037081.0,,1.1432940324333023,84000055.0,USA,120861.49881647436,,,
Wyoming,US,2021-03-07 05:31:30,42.756,-107.3025,54764,682,53550.0,532.0,56.0,9462.315056871686,649293.0,,1.245343656416624,84000056.0,USA,112187.11069719867,,,
